"Variable","Categoria","Frecuencia","Porcentaje","Prevalencia_SO_pct"
"EDADnew","1",3087,22.81,27.18
"EDADnew","2",10449,77.19,62.35
"SEXONEW","0",5675,41.93,51.37
"SEXONEW","1",7861,58.07,56.47
"ETNIA2","0",12087,89.3,54.07
"ETNIA2","1",1449,10.7,56.52
"SISBENNEW","0",8250,60.95,53.56
"SISBENNEW","1",5286,39.05,55.52
"ESCOLARIDADnew","0",10317,76.46,55.28
"ESCOLARIDADnew","1",3177,23.54,51.02
"OCUPACIONnew","0",8192,61.68,55.99
"OCUPACIONnew","1",5089,38.32,52.21
"QH42NEW","0",12783,94.44,53.97
"QH42NEW","1",753,5.56,60.42
"TlmeettNEW","0",10786,79.68,55.48
"TlmeettNEW","1",2750,20.32,49.82
